File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
27,298.15,-11.77083258,1.1,0.999999998,1828.9491094682428
28,298.15,-64.54818864,0.1,1.0,1829.2315838819943
28,298.15,-64.54818864,0.2,1.0,1829.2315838819943
28,298.15,-64.54818864,0.3,1.0,1829.2315838819943
28,298.15,-64.54818864,0.4,1.0,1829.2315838819943
28,298.15,-64.54818864,0.5,1.0,1829.2315838819943
28,298.15,-64.54818864,0.6,1.0,1829.2315838819943
28,298.15,-64.54818864,0.7,1.0,1829.2315838819943
28,298.15,-64.54818864,0.8,1.0,1829.2315838819943
28,298.15,-64.54818864,0.9,1.0,1829.2315838819943
28,298.15,-64.54818864,1.0,1.0,1829.2315838819943
28,298.15,-64.54818864,1.1,1.0,1829.2315838819943
29,298.15,-6.31337811,0.1,0.999764666,1827.3444690307429
29,298.15,-6.31337811,0.2,0.999882319,1827.5595121965262
29,298.15,-6.31337811,0.3,0.999921543,1827.6312048276932
29,298.15,-6.31337811,0.4,0.999941156,1827.6670529710511
29,298.15,-6.31337811,0.5,0.999952924,1827.688562222621
29,298.15,-6.31337811,0.6,0.99996077,1827.7029029421838
29,298.15,-6.31337811,0.7,0.999966374,1827.713145791079
29,298.15,-6.31337811,0.8,0.999970577,1827.7208279277502
29,298.15,-6.31337811,0.9,0.999973846,1827.726802922939
29,298.15,-6.31337811,1.0,0.999976462,1827.7315843813096
29,298.15,-6.31337811,1.1,0.999978601,1827.7354939911932
3,298.15,3.47954295,0.1,0.00028125,0.5176071516544872
3,298.15,3.47954295,0.2,0.000562342,1.034923523113556
3,298.15,3.47954295,0.3,0.000843277,1.5519509547581904
3,298.15,3.47954295,0.4,0.001124053,2.0686857658264226
3,298.15,3.47954295,0.5,0.001404671,2.585129796699236
3,298.15,3.47954295,0.6,0.001685132,3.1012848877576156
3,298.15,3.47954295,0.7,0.001965435,3.6171491986205764
3,298.15,3.47954295,0.8,0.002245581,4.132724569669103
3,298.15,3.47954295,0.9,0.00252557,4.648011000903194
3,298.15,3.47954295,1.0,0.002805402,5.1630084923228505
3,298.15,3.47954295,1.1,0.003085076,5.6777152035470895
30,298.15,179.9742606,0.1,1.16e-133,2.1229451509522547e-130
30,298.15,179.9742606,0.2,2.32e-133,4.245890301904509e-130
30,298.15,179.9742606,0.3,3.48e-133,6.368835452856764e-130
