File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g),wt%
29,77,-9.44465301,0.2,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.3,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.4,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.5,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.6,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.7,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.8,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,0.9,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,1.0,1.0,1827.7746065399983,14.118635758806638
29,77,-9.44465301,1.1,1.0,1827.7746065399983,14.118635758806638
3,77,-0.07028112,0.1,0.136669927,251.52473468905492,2.2122605080230584
3,77,-0.07028112,0.2,0.240474255,442.5642459619016,3.8282051789628984
3,77,-0.07028112,0.3,0.321995561,592.5945072874621,5.060304117255782
3,77,-0.07028112,0.4,0.387713415,713.5403960760326,6.03080428872856
3,77,-0.07028112,0.5,0.441817159,813.111897678463,6.815023767502852
3,77,-0.07028112,0.6,0.487135616,896.5151241500943,7.4618989562768006
3,77,-0.07028112,0.7,0.525647915,967.3924268667378,8.004605441798796
3,77,-0.07028112,0.8,0.558780236,1028.36852037967,8.466430234533776
3,77,-0.07028112,0.9,0.587586313,1081.3826767043272,8.864200597735282
3,77,-0.07028112,1.0,0.612861563,1127.89876616159,9.210378681238085
3,77,-0.07028112,1.1,0.63521767,1169.0425203530667,9.514390730267015
30,77,175.2371876,0.1,0.0,0.0,0.0
30,77,175.2371876,0.2,0.0,0.0,0.0
30,77,175.2371876,0.3,0.0,0.0,0.0
30,77,175.2371876,0.4,0.0,0.0,0.0
30,77,175.2371876,0.5,0.0,0.0,0.0
30,77,175.2371876,0.6,0.0,0.0,0.0
30,77,175.2371876,0.7,0.0,0.0,0.0
30,77,175.2371876,0.8,0.0,0.0,0.0
30,77,175.2371876,0.9,0.0,0.0,0.0
30,77,175.2371876,1.0,0.0,0.0,0.0
30,77,175.2371876,1.1,0.0,0.0,0.0
31,77,-6.15022551,0.1,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.2,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.3,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.4,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.5,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.6,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.7,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.8,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,0.9,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,1.0,1.0,1829.8471944290343,14.132382902174733
31,77,-6.15022551,1.1,1.0,1829.8471944290343,14.132382902174733
32,77,-45.72728121,0.1,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.2,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.3,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.4,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.5,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.6,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.7,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.8,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,0.9,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,1.0,1.0,1830.125130131254,14.134226070495856
32,77,-45.72728121,1.1,1.0,1830.125130131254,14.134226070495856
33,77,-11.60705247,0.1,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.2,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.3,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.4,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.5,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.6,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.7,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.8,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,0.9,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,1.0,1.0,1829.5649334748184,14.130510969369874
33,77,-11.60705247,1.1,1.0,1829.5649334748184,14.130510969369874
34,77,-30.02509848,0.1,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.2,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.3,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.4,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.5,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.6,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.7,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.8,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,0.9,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,1.0,1.0,1828.913499840515,14.126190400356723
34,77,-30.02509848,1.1,1.0,1828.913499840515,14.126190400356723
35,77,-38.73870234,0.1,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.2,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.3,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.4,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.5,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.6,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.7,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.8,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,0.9,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,1.0,1.0,1837.4337749291285,14.182665957707885
35,77,-38.73870234,1.1,1.0,1837.4337749291285,14.182665957707885
36,77,-36.04919448,0.1,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.2,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.3,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.4,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.5,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.6,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.7,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.8,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,0.9,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,1.0,1.0,1841.3970102560904,14.208910452852638
36,77,-36.04919448,1.1,1.0,1841.3970102560904,14.208910452852638
37,77,-11.41691694,0.1,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.2,1.0,1847.3307608736372,14.248173681741957
